23:04:45.440 [main] INFO  TestBase.BaseClass - --- Running on local system ---
23:27:40.956 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.036 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.123 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.188 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.249 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.332 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.399 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.469 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.538 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.649 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.720 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.791 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:27:41.960 [main] INFO  TestBase.BaseClass - Closed browser
23:28:49.555 [main] INFO  TestBase.BaseClass - --- Running on local system ---
23:28:54.622 [main] INFO  TestBase.BaseClass - Started chrome browser
23:28:58.109 [main] INFO  TestBase.BaseClass - website is loaded
23:28:58.839 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
23:29:07.202 [main] INFO  TestBase.BaseClass - personal details filled successfully
23:29:14.788 [main] INFO  TestBase.BaseClass - filters applied on student plans
23:29:15.290 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:29:15.356 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:29:15.424 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:29:17.378 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
23:29:25.829 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
23:29:37.872 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:37.964 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.048 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.132 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.212 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.301 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.367 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.436 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.503 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.570 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.642 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.706 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:29:38.856 [main] INFO  TestBase.BaseClass - Closed browser
23:44:55.745 [main] INFO  TestBase.CucumberBaseClass - Starting cucumber tests
23:45:01.296 [main] INFO  TestBase.CucumberBaseClass - Started chrome browser
23:45:40.181 [main] INFO  TestBase.CucumberBaseClass - Closed browser
23:47:16.742 [main] INFO  TestBase.CucumberBaseClass - Starting cucumber tests
23:47:22.216 [main] INFO  TestBase.CucumberBaseClass - Started chrome browser
23:47:44.772 [main] INFO  TestBase.CucumberBaseClass - Closed browser
01:25:07.143 [main] INFO  TestBase.CucumberBaseClass - Starting cucumber tests
01:25:12.948 [main] INFO  TestBase.CucumberBaseClass - Started chrome browser
01:25:35.028 [main] INFO  TestBase.CucumberBaseClass - Closed browser
01:25:58.998 [main] INFO  TestBase.BaseClass - --- Running on local system ---
01:26:03.451 [main] INFO  TestBase.BaseClass - Started chrome browser
01:26:07.074 [main] INFO  TestBase.BaseClass - website is loaded
01:26:07.792 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
01:26:16.003 [main] INFO  TestBase.BaseClass - personal details filled successfully
01:26:23.234 [main] INFO  TestBase.BaseClass - filters applied on student plans
01:26:23.698 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
01:26:23.778 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
01:26:23.860 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
01:26:26.037 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
01:26:34.759 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
01:26:44.186 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.262 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.334 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.399 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.464 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.524 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.585 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.647 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.706 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.768 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.831 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:44.892 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
01:26:45.018 [main] INFO  TestBase.BaseClass - Closed browser
10:45:40.484 [main] INFO  TestBase.BaseClass - --- Running on local system ---
10:45:46.629 [main] INFO  TestBase.BaseClass - Started chrome browser
10:46:25.287 [main] INFO  TestBase.BaseClass - website is loaded
10:46:46.907 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
10:46:55.956 [main] INFO  TestBase.BaseClass - personal details filled successfully
10:47:01.327 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:47:01.380 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:47:01.434 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:47:04.535 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
10:47:13.444 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
10:47:27.180 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.290 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.393 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.491 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.579 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.663 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.760 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.849 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:27.932 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:28.012 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:28.100 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:28.175 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:47:28.332 [main] INFO  TestBase.BaseClass - Closed browser
10:54:15.481 [main] INFO  TestBase.BaseClass - --- Running on local system ---
10:54:21.189 [main] INFO  TestBase.BaseClass - Started chrome browser
10:54:31.189 [main] INFO  TestBase.BaseClass - website is loaded
10:54:52.006 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
10:55:00.690 [main] INFO  TestBase.BaseClass - personal details filled successfully
10:55:09.430 [main] INFO  TestBase.BaseClass - filters applied on student plans
10:55:09.786 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:55:09.872 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:55:09.951 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:55:11.861 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
10:55:21.484 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
10:55:36.256 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.331 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.401 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.469 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.537 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.632 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.764 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.819 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.871 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.928 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:36.987 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:37.052 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:55:37.201 [main] INFO  TestBase.BaseClass - Closed browser
10:56:55.998 [main] INFO  TestBase.BaseClass - --- Running on local system ---
10:57:00.938 [main] INFO  TestBase.BaseClass - Started chrome browser
10:57:27.691 [main] INFO  TestBase.BaseClass - website is loaded
10:57:28.176 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
10:58:28.154 [main] INFO  TestBase.BaseClass - --- Running on local system ---
10:58:36.489 [main] INFO  TestBase.BaseClass - Started chrome browser
10:58:42.067 [main] INFO  TestBase.BaseClass - website is loaded
10:58:43.215 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
10:58:56.075 [main] INFO  TestBase.BaseClass - personal details filled successfully
10:59:06.660 [main] INFO  TestBase.BaseClass - filters applied on student plans
10:59:07.407 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:59:07.538 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:59:07.676 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
10:59:11.628 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
10:59:23.517 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
10:59:48.088 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:48.268 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:48.444 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:48.639 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:48.781 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:48.915 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:49.022 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:49.136 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:49.257 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:49.382 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:49.518 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:49.672 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
10:59:49.944 [main] INFO  TestBase.BaseClass - Closed browser
11:13:11.663 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:13:22.304 [main] INFO  TestBase.BaseClass - Started chrome browser
11:13:33.150 [main] INFO  TestBase.BaseClass - website is loaded
11:13:56.625 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:15:19.644 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:15:28.784 [main] INFO  TestBase.BaseClass - Started chrome browser
11:15:33.482 [main] INFO  TestBase.BaseClass - website is loaded
11:15:34.405 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:15:47.901 [main] INFO  TestBase.BaseClass - personal details filled successfully
11:17:33.097 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:17:42.160 [main] INFO  TestBase.BaseClass - Started chrome browser
11:18:30.677 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:18:39.210 [main] INFO  TestBase.BaseClass - Started chrome browser
11:18:47.116 [main] INFO  TestBase.BaseClass - website is loaded
11:18:48.282 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:20:48.974 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:21:01.223 [main] INFO  TestBase.BaseClass - Started chrome browser
11:21:17.502 [main] INFO  TestBase.BaseClass - website is loaded
11:21:18.422 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:24:27.300 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:24:33.752 [main] INFO  TestBase.BaseClass - Started chrome browser
11:25:22.038 [main] INFO  TestBase.BaseClass - website is loaded
11:26:31.655 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:26:38.921 [main] INFO  TestBase.BaseClass - Started chrome browser
11:26:51.324 [main] INFO  TestBase.BaseClass - website is loaded
11:28:14.164 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:29:57.556 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:30:04.245 [main] INFO  TestBase.BaseClass - Started chrome browser
11:30:04.916 [main] INFO  TestBase.BaseClass - website is loaded
11:30:34.610 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:30:53.372 [main] INFO  TestBase.BaseClass - personal details filled successfully
11:32:01.099 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:32:01.179 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:32:01.237 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:32:02.113 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
11:32:02.113 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
11:32:06.655 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
11:32:29.395 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
11:32:44.470 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:44.716 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:44.821 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:44.912 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:44.985 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.069 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.157 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.238 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.309 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.385 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.482 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.624 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:32:45.803 [main] INFO  TestBase.BaseClass - Closed browser
11:36:31.883 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:36:38.170 [main] INFO  TestBase.BaseClass - Started chrome browser
11:37:06.618 [main] INFO  TestBase.BaseClass - website is loaded
11:37:07.463 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:38:36.363 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:38:42.923 [main] INFO  TestBase.BaseClass - Started chrome browser
11:39:08.902 [main] INFO  TestBase.BaseClass - website is loaded
11:39:09.530 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:40:53.064 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:40:58.426 [main] INFO  TestBase.BaseClass - Started chrome browser
11:41:26.352 [main] INFO  TestBase.BaseClass - website is loaded
11:41:28.041 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:41:44.038 [main] INFO  TestBase.BaseClass - personal details filled successfully
11:42:52.014 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:42:52.121 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:42:52.211 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:42:53.485 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
11:42:53.485 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
11:42:57.575 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
11:45:04.824 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:45:16.130 [main] INFO  TestBase.BaseClass - Started chrome browser
11:45:27.722 [main] INFO  TestBase.BaseClass - Closed browser
11:45:49.252 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:45:56.026 [main] INFO  TestBase.BaseClass - Started chrome browser
11:46:01.931 [main] INFO  TestBase.BaseClass - website is loaded
11:46:02.733 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:46:18.194 [main] INFO  TestBase.BaseClass - personal details filled successfully
11:46:30.518 [main] INFO  TestBase.BaseClass - filters applied on student plans
11:46:31.086 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:46:31.230 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:46:31.326 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:46:32.781 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
11:46:32.782 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
11:46:36.214 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
11:46:47.391 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
11:47:06.058 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:06.227 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:06.364 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:06.494 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:06.627 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:06.759 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:06.866 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:06.975 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:07.095 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:07.201 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:07.315 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:07.452 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:47:07.703 [main] INFO  TestBase.BaseClass - Closed browser
11:53:55.688 [main] INFO  TestBase.BaseClass - --- Running on local system ---
11:54:03.119 [main] INFO  TestBase.BaseClass - Started chrome browser
11:54:09.519 [main] INFO  TestBase.BaseClass - website is loaded
11:54:10.644 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
11:54:27.823 [main] INFO  TestBase.BaseClass - personal details filled successfully
11:54:40.791 [main] INFO  TestBase.BaseClass - filters applied on student plans
11:54:41.511 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:54:41.621 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:54:41.854 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
11:54:42.685 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
11:54:42.686 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
11:54:45.729 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
11:54:56.473 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
11:56:05.530 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:05.855 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:06.013 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:06.197 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:06.431 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:06.615 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:06.821 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:07.020 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:07.303 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:07.601 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:07.864 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:08.000 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
11:56:08.238 [main] INFO  TestBase.BaseClass - Closed browser
12:00:29.870 [main] INFO  TestBase.BaseClass - --- Running on local system ---
12:00:36.103 [main] INFO  TestBase.BaseClass - Started chrome browser
12:00:42.127 [main] INFO  TestBase.BaseClass - website is loaded
12:00:43.111 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
12:01:00.036 [main] INFO  TestBase.BaseClass - personal details filled successfully
12:01:13.067 [main] INFO  TestBase.BaseClass - filters applied on student plans
12:01:13.758 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:01:13.864 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:01:13.972 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
12:01:15.000 [main] WARN  org.apache.poi.POIDocument - DocumentSummaryInformation property set came back as null
12:01:15.000 [main] WARN  org.apache.poi.POIDocument - SummaryInformation property set came back as null
12:01:18.073 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
12:01:29.641 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
12:02:34.412 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
